name,population,region,educationExpenditures,birthPer1000,deathPer1000,GDPPerCapita,inflationRate,militaryExpenditures,GDPPurchasePower,GDPGrowthRate,reservesOfForeignCurrency,electricityConsumption,laborForce
China,1397897720,East Asia/Southeast Asia,0,11.3,8.26,16117,2.8,1.7,2.25265E+13,6.14,3.236E+12,5.564E+12,774710000
Libya,7017224,Africa,0,22.23,3.46,15174,28.5,0,1.02842E+11,64,74710000000,27300000000,1114000
India,1339330514,South Asia,3.8,17.53,7.1,6700,3.7,2.9,9.15508E+12,4.86,4.098E+11,1.137E+12,521900000
United States,334998398,North America,5,12.33,8.35,62530,1.8,3.73,2.05249E+13,2.16,1.233E+11,3.902E+12,146128000
Japan,124687293,East Asia/Southeast Asia,3.2,7,11.44,41429,0.4,1,5.23107E+12,0.7,1.264E+12,9.437E+11,66540000
Indonesia,275122131,East Asia/Southeast Asia,3.6,15.59,6.74,11812,2.8,0.7,3.19668E+12,5.03,1.302E+11,2.134E+11,129366000
Brazil,213445417,South America,6.3,13.44,6.8,14652,3.7,1.5,3.09222E+12,1.13,3.74E+11,5.091E+11,86621000
Oman,3694755,Middle East,6.8,22.58,3.25,27299,0.1,10.5,1.35814E+11,-0.9,16090000000,28920000000,2255000
Russia,142320790,Central Asia,4.7,9.71,13.4,27044,4.4,4,3.96818E+12,1.34,4.327E+11,9.096E+11,69923000
Switzerland,8453550,Europe,5.1,10.41,8.44,68628,0.3,0.7,5.88472E+11,1.11,8.112E+11,58460000000,5067000
Bangladesh,164098818,South Asia,1.3,17.88,5.44,4754,5.5,1.3,7.75076E+11,7.4,33420000000,53650000000,66640000
Northern Mariana Islands,51659,Australia - Oceania,0,15.31,5.28,24500,0.3,0,1242000000,28.6,0,48300,27970
Pakistan,238181034,South Asia,2.9,26.95,6.1,4690,9.3,4,1.0158E+12,5.4,18460000000,92330000000,61710000
Germany,79903481,Europe,4.9,8.63,12.22,53919,1.4,1.56,4.48245E+12,0.59,2.001E+11,5.365E+11,44585000
Nigeria,219463862,Africa,0,34.38,8.89,5136,11.3,0.5,1.03205E+12,0.8,38770000000,24720000000,60080000
Saudi Arabia,34783757,Middle East,0,14.56,3.39,46962,-2,7,1.60932E+12,-0.9,4.964E+11,2.962E+11,13800000
Vietnam,102789598,East Asia/Southeast Asia,4.2,16.04,5.78,8041,2.7,2.36,7.75669E+11,6.8,49500000000,1.432E+11,54659000
Canada,37943231,North America,5.3,10.21,8.08,49031,1.9,1.42,1.84305E+12,1.66,86680000000,5.222E+11,18136000
Ethiopia,110871031,Africa,4.7,31.03,5.8,2221,15.7,0.7,2.48972E+11,10.9,3013000000,9062000000,52820000
Mexico,130207371,North America,4.5,17.29,5.41,19796,3.6,0.5,2.52548E+12,-0.3,1.753E+11,2.587E+11,50914000
Taiwan,23572052,East Asia/Southeast Asia,0,7.43,7.8,24502,0.5,2.3,1.14328E+12,2.71,4.567E+11,2.374E+11,11498000
"Korea, South",51715162,East Asia/Southeast Asia,4.3,6.89,6.96,42765,0.3,2.7,2.21132E+12,2.04,3.892E+11,5.076E+11,26839000
Philippines,110818325,East Asia/Southeast Asia,0,22.66,5.99,8908,2.4,1,9.63121E+11,6.04,81570000000,78300000000,41533000
Falkland Islands (Islas Malvinas),3198,South America,0,10.9,4.9,70800,1.4,0,206400000,25.5,0,17670000,1850
Thailand,69480520,East Asia/Southeast Asia,4.1,10.25,7.66,18460,0.7,1.4,1.28529E+12,2.62,2.026E+11,1.877E+11,37546000
France,68084217,Europe,5.5,11.77,9.58,46184,1.1,2.04,3.09706E+12,1.49,1.564E+11,4.508E+11,27742000
United Kingdom,67081000,Europe,5.4,11.77,9.41,46659,1.7,2.32,3.1184E+12,1.26,1.508E+11,3.092E+11,35412000
Iran,85888910,Middle East,4,15.78,5.14,12389,10,3.8,1.02724E+12,3.7,1.206E+11,2.363E+11,30500000
Burkina Faso,21382659,Africa,5.4,34.34,7.92,2178,-3.2,2.4,44266000000,6.4,49000000,1551000000,8501000
Hong Kong,7263234,East Asia/Southeast Asia,3.8,8.23,7.92,59848,2.8,0,4.49299E+11,-1.25,4.314E+11,41840000000,3627000
Italy,62390364,Europe,4,8.37,10.7,42492,0.6,1.39,2.56214E+12,0.34,1.512E+11,2.935E+11,22920000
Turkey,82482383,Middle East,4.3,14.54,6.02,28424,15.4,1.86,2.37137E+12,0.98,1.077E+11,2.311E+11,25677000
Tanzania,62092761,Africa,3.4,33.71,5.17,2660,3.4,1.3,1.49785E+11,6.98,5301000000,5682000000,24890000
Egypt,106437241,Africa,0,26.44,4.36,11763,9.3,1.2,1.18089E+12,4.2,35890000000,1.597E+11,24113000
Spain,47260584,Europe,4.2,8.05,9.78,40903,0.7,1.17,1.92558E+12,1.95,69410000000,2.395E+11,19057000
Macau,630396,East Asia/Southeast Asia,2.7,9.41,4.64,123965,2.7,0,79392000000,9.1,20170000000,5077000000,392000
Burma,57069099,East Asia/Southeast Asia,1.9,16.65,7.14,5142,8.8,2.7,2.77909E+11,6.8,4924000000,14930000000,22300000
"Congo, Democratic Republic of the",105044646,Africa,1.5,40.53,8.15,1098,41.5,0.7,95291000000,3.4,457500000,7430000000,20692000
Kenya,54685051,Africa,5.3,26.78,5.09,4330,5.1,1.3,2.27638E+11,5.39,7354000000,7863000000,19600000
Singapore,5866139,East Asia/Southeast Asia,2.9,9.13,3.93,97341,0.5,3.3,5.55193E+11,0.73,2.799E+11,47690000000,3778000
Colombia,50355650,South America,4.5,16.51,5.53,14722,3.5,3.4,7.41099E+11,3.26,47130000000,68250000000,19309000
Australia,25809973,Australia - Oceania,5.1,12.35,6.78,49854,1.6,2.1,1.26451E+12,1.84,66580000000,2.294E+11,12568000
Ghana,32372889,Africa,4,29.08,6.3,5413,8.4,0.4,1.6464E+11,8.4,7555000000,9363000000,12490000
Argentina,45864941,South America,5.5,15.8,7.36,22064,25.7,0.7,9.91523E+11,-2.03,55330000000,1.21E+11,18000000
Nepal,30424878,South Asia,5.1,17.78,5.57,3417,4.5,1.6,97749000000,7.9,9091000000,4983000000,16810000
South Africa,56978635,Africa,6.5,18.89,9.27,12482,4.1,0.9,7.30913E+11,0.06,50720000000,2.071E+11,14687000
Ukraine,43745640,Europe,5.4,9.23,13.9,12810,7.9,3,5.38388E+11,3.24,18810000000,1.332E+11,16033000
Guinea,12877894,Africa,2.3,35.86,8.28,2562,9.4,2,32720000000,8.2,331800000,556100000,5558000
Uganda,44712143,Africa,2.1,41.6,5.17,2187,2.8,2.1,96838000000,4.8,3654000000,3106000000,15840000
Malaysia,33519406,East Asia/Southeast Asia,4.2,14.72,5.66,28364,0.6,0.9,9.06239E+11,4.31,1.024E+11,1.369E+11,15139000
Poland,38185913,Europe,4.6,8.69,10.68,33221,2.1,2.2,1.26143E+12,4.55,1.133E+11,1.494E+11,9561000
Liechtenstein,39425,Europe,2.6,10.35,7.89,139100,-0.4,0,4978000000,1.8,0,393600000,38520
Venezuela,29069153,South America,0,17.55,7.13,7704,146101.7,0.4,2.69068E+11,-19.67,9661000000,71960000000,14210000
"Korea, North",25831360,East Asia/Southeast Asia,0,14.35,9.39,1700,0,0,40000000000,-1.1,0,13890000000,14000000
Israel,8787045,Middle East,6.1,17.52,5.06,41953,1.8,5,3.947E+11,-2.6,1.73292E+11,55000000000,3893000
Madagascar,27534354,Africa,2.8,29.22,6.09,1647,5.6,0.6,44419000000,4.2,1600000000,1587000000,13400000
Uzbekistan,30842796,Central Asia,5.3,15.85,5.4,6999,12.5,4,2.35021E+11,5.3,16000000000,49070000000,13273000
Sweden,10261767,Europe,7.6,11.93,9.39,53240,1.7,1.1,5.47595E+11,1.29,62220000000,1.335E+11,5029000
Mozambique,30888034,Africa,5.5,38.03,10.59,1281,2.7,0.9,38910000000,3.11,3361000000,11570000000,12900000
Norway,5509591,Europe,7.9,12.09,8.01,63633,2.1,2,3.40303E+11,0.86,65920000000,1.222E+11,2699000
Angola,33642646,Africa,3.4,42.22,8.24,6670,17.2,1.7,2.12285E+11,-2.5,17290000000,9036000000,12510000
Cote d'Ivoire,28088455,Africa,3.3,28.67,7.75,5213,-1.1,1.1,1.34048E+11,7.8,6257000000,6245000000,8747000
Sudan,46751152,Africa,0,33.63,6.41,3958,50.2,1.6,1.6828E+11,1.4,198000000,12120000000,11920000
United Arab Emirates,9856612,Middle East,0,10.87,1.51,67119,-1.9,5.2,6.55789E+11,0.8,95370000000,1.132E+11,5344000
Algeria,43576691,Africa,0,19.24,4.32,11511,1.9,6,4.95564E+11,1.4,97890000000,55960000000,10859000
Netherlands,17337403,Europe,5.2,10.98,9.22,56935,2.6,1.49,9.86847E+11,1.63,38440000000,1.088E+11,8907000
Morocco,36561813,Africa,0,17.58,6.53,7515,0.2,3.8,2.79295E+11,2.5,26270000000,28250000000,10399000
Czechia,10702596,Europe,3.9,8.75,10.72,40862,2.8,1.34,4.35987E+11,2.27,1.48E+11,62340000000,5222000
Cameroon,28524175,Africa,3.1,35.91,7.93,3642,2.4,1.1,94248000000,3.5,3235000000,6411000000,9912000
Kazakhstan,19245793,Central Asia,2.6,15.87,8.14,26351,5.2,1.1,4.87868E+11,6.13,30750000000,94230000000,8685000
Greenland,57799,North America,0,13.88,8.88,41800,0.3,0,2413000000,7.7,0,468000000,26840
Cambodia,17304363,East Asia/Southeast Asia,2.2,20.84,7.15,4389,2.9,2.3,72356000000,6.9,12200000000,5857000000,8913000
Finland,5587442,Europe,6.4,10.49,10.33,48668,1,2.2,2.68662E+11,1.15,10510000000,82790000000,2520000
Iraq,39650145,Middle East,0,25.21,3.92,10881,-0.1,4,4.27736E+11,-2.1,48880000000,38460000000,8900000
Armenia,3011609,Middle East,2.7,11.45,9.48,13654,1.4,4.3,40384000000,7.5,2314000000,5291000000,1507000
Belgium,11778842,Europe,6.4,11.03,9.71,51934,1.4,1.07,5.96414E+11,1.41,26160000000,82160000000,4122000
Niger,23605767,Africa,3.5,47.28,10.09,1225,-2.5,1.8,28544000000,4.9,1314000000,1065000000,6500000
Afghanistan,37466414,South Asia,4.1,36.08,12.57,2065,5,1.2,78557000000,2.7,7187000000,5526000000,8478000
Chile,18307925,South America,5.4,12.92,6.47,24226,2.2,1.8,4.59134E+11,1.03,38980000000,73220000000,7249000
Ecuador,17093159,South America,5,16.71,5.15,11375,0.2,2.3,1.97631E+11,0.06,2395000000,22680000000,8086000
Sri Lanka,23044123,South Asia,2.1,14.01,6.45,13078,4.3,1.9,2.85141E+11,2.29,7959000000,12670000000,8000000
Zimbabwe,14829988,Africa,5.9,33.34,9.02,2836,241.7,0.7,41533000000,3.7,431800000,7118000000,7907000
Yemen,30399243,Middle East,0,25.21,5.69,2500,24.7,4.3,73630000000,-5.9,245400000,3681000000,7425000
Austria,8884864,Europe,5.4,9.48,9.85,56188,1.5,0.7,4.9878E+11,1.42,21570000000,64600000000,3739000
Bhutan,857423,South Asia,6.9,16.17,6.28,11832,5.8,0,9029000000,7.4,1206000000,2184000000,397900
Malawi,20308502,Africa,4.7,28.59,4.66,1060,9.3,0.9,19741000000,4,780200000,1321000000,7000000
Kuwait,3032065,Middle East,0,17.9,2.23,49854,1.5,5,2.09738E+11,-3.3,33700000000,57780000000,2695000
Senegal,16082442,Africa,4.8,31.31,7.55,3395,-0.8,1.5,55324000000,7.2,1827000000,3497000000,6966000
Montserrat,5387,Central America,8.8,11.14,5.94,34000,1.2,0,1.674E+11,7.4,47580000,22320000,4521
Zambia,19077816,Africa,4.6,35.23,6.24,3470,9.1,1.2,61985000000,3.4,2082000000,11040000000,6898000
Greece,10569703,Europe,0,7.72,12.05,29799,0.2,2.68,3.19334E+11,1.87,7807000000,56890000000,4000000
Guatemala,17422821,Central America,3.2,22.79,4.94,8637,3.7,0.4,1.43416E+11,2.8,11770000000,10100000000,6664000
Denmark,5894687,Europe,7.8,11.17,9.5,57804,0.7,1.43,3.36335E+11,2.85,75250000000,33020000000,2736000
Mali,20137527,Africa,3.8,41.6,8.77,2322,1.9,2.7,45637000000,5.4,647800000,2982000000,6447000
Romania,21230362,Europe,3.1,8.39,11.99,29941,3.8,2.07,5.79549E+11,4.2,44430000000,49640000000,4889000
Rwanda,12943132,Africa,3.1,27.18,5.95,2227,3.3,1.2,28118000000,6.1,997600000,527300000,6227000
Lithuania,2711566,Europe,3.8,9.42,15.05,37231,2.3,2.13,1.03756E+11,4.33,4450000000,10500000000,1333000
Bolivia,11758869,South America,7.3,20.36,6.26,8724,1.8,1.4,1.00445E+11,2.22,10260000000,7785000000,5719000
Chad,17414108,Africa,2.5,41.05,9.7,1580,-0.9,2.2,25190000000,-3.1,22900000,208600000,5654000
Tajikistan,8990874,Central Asia,5.2,21.22,5.78,3380,7.7,2.2,31502000000,7.1,1292000000,12960000000,2295000
Portugal,10263850,Europe,5,8.02,10.9,34894,0.3,1.59,3.58344E+11,2.24,26110000000,46940000000,4717000
Peru,32201224,South America,3.8,16.67,6.09,12848,2.1,1.2,4.1769E+11,2.18,63830000000,44610000000,3421000
New Zealand,4991442,Australia - Oceania,6.3,12.83,6.91,42888,1.6,1.5,2.10877E+11,2.22,20680000000,39500000000,2709000
Hungary,9728337,Europe,4.7,8.72,12.88,32945,3.3,1.85,3.21869E+11,4.58,28000000000,39370000000,4414000
Burundi,12241065,Africa,5.1,35.48,6.07,752,-0.6,1.8,8667000000,0,97400000,382700000,5012000
Azerbaijan,10282283,Middle East,2.5,14.03,6.93,14404,2.6,4,1.44374E+11,0.1,6681000000,20240000000,4939000
Qatar,2479995,Middle East,2.7,9.38,1.42,90044,-0.6,2.5,2.5501E+11,1.6,15010000000,37240000000,1953000
Dominican Republic,10597348,Central America,0,18.24,6.29,18413,1.8,0.7,1.97735E+11,4.6,6873000000,15640000000,4732000
Lebanon,5261372,Middle East,2.5,13.35,5.57,14552,2.8,3,99761000000,1.5,55420000000,15710000000,2166000
Laos,7574356,East Asia/Southeast Asia,2.9,22.74,7.12,7826,0.8,0.2,56110000000,6.9,1270000000,5471000000,3582000
Cuba,11032343,Central America,12.8,10.25,9.22,12300,5.5,2.9,1.37E+11,1.6,11350000000,16160000000,4691000
